僨乕僞宍幃, 2
memo1
x, y, z
0.000000, 0.000000, 14.287055
0.001000, 0.000000, 13.087492
0.002000, 0.000000, 12.729007
0.003000, 0.000000, 12.706543
0.004000, 0.000000, 13.818671
0.005000, 0.000000, 14.113932
0.006000, 0.000000, 14.059842
0.007000, 0.000000, 14.090430
0.008000, 0.000000, 13.702321
0.009000, 0.000000, 13.532827
0.010000, 0.000000, 14.650184
0.011000, 0.000000, 13.969643
0.012000, 0.000000, 14.334764
0.013000, 0.000000, 14.711463
0.014000, 0.000000, 14.877028
0.015000, 0.000000, 14.713690
0.016000, 0.000000, 14.209154
0.017000, 0.000000, 13.299641
0.018000, 0.000000, 12.139445
0.019000, 0.000000, 11.080605
0.020000, 0.000000, 9.516235
0.000000, 0.001000, 18.910483
0.001000, 0.001000, 18.129108
0.002000, 0.001000, 17.789753
0.003000, 0.001000, 18.338037
0.004000, 0.001000, 20.053844
0.005000, 0.001000, 20.338903
0.006000, 0.001000, 20.192114
0.007000, 0.001000, 20.205197
0.008000, 0.001000, 19.446226
0.009000, 0.001000, 19.107626
0.010000, 0.001000, 20.272182
0.011000, 0.001000, 19.582009
0.012000, 0.001000, 20.389050
0.013000, 0.001000, 21.038550
0.014000, 0.001000, 21.381017
0.015000, 0.001000, 21.238380
0.016000, 0.001000, 20.577316
0.017000, 0.001000, 19.265799
0.018000, 0.001000, 17.562170
0.019000, 0.001000, 16.029206
0.020000, 0.001000, 13.812889
0.000000, 0.002000, 18.678450
0.001000, 0.002000, 18.445437
0.002000, 0.002000, 18.165386
0.003000, 0.002000, 19.105824
0.004000, 0.002000, 21.001962
0.005000, 0.002000, 21.245868
0.006000, 0.002000, 21.067285
0.007000, 0.002000, 21.077230
0.008000, 0.002000, 20.200711
0.009000, 0.002000, 19.799093
0.010000, 0.002000, 20.921816
0.011000, 0.002000, 20.248992
0.012000, 0.002000, 21.178088
0.013000, 0.002000, 21.897364
0.014000, 0.002000, 22.289277
0.015000, 0.002000, 22.171861
0.016000, 0.002000, 21.501387
0.017000, 0.002000, 20.126575
0.018000, 0.002000, 18.337863
0.019000, 0.002000, 16.735918
0.020000, 0.002000, 14.438070
0.000000, 0.003000, 21.233768
0.001000, 0.003000, 22.361640
0.002000, 0.003000, 22.296542
0.003000, 0.003000, 24.483671
0.004000, 0.003000, 27.054083
0.005000, 0.003000, 27.130971
0.006000, 0.003000, 26.731162
0.007000, 0.003000, 26.714604
0.008000, 0.003000, 25.197883
0.009000, 0.003000, 24.524579
0.010000, 0.003000, 25.483604
0.011000, 0.003000, 24.858517
0.012000, 0.003000, 26.376468
0.013000, 0.003000, 27.462825
0.014000, 0.003000, 28.117044
0.015000, 0.003000, 28.098354
0.016000, 0.003000, 27.324574
0.017000, 0.003000, 25.565951
0.018000, 0.003000, 23.249113
0.019000, 0.003000, 21.188507
0.020000, 0.003000, 18.263002
0.000000, 0.004000, 26.983228
0.001000, 0.004000, 29.542430
0.002000, 0.004000, 29.523296
0.003000, 0.004000, 32.523989
0.004000, 0.004000, 35.488426
0.005000, 0.004000, 35.224272
0.006000, 0.004000, 34.177189
0.007000, 0.004000, 33.994926
0.008000, 0.004000, 31.100937
0.009000, 0.004000, 29.997659
0.010000, 0.004000, 31.094995
0.011000, 0.004000, 30.319434
0.012000, 0.004000, 32.669007
0.013000, 0.004000, 34.307554
0.014000, 0.004000, 35.445364
0.015000, 0.004000, 35.735649
0.016000, 0.004000, 34.902010
0.017000, 0.004000, 32.657381
0.018000, 0.004000, 29.644148
0.019000, 0.004000, 26.917606
0.020000, 0.004000, 22.945812
0.000000, 0.005000, 30.667283
0.001000, 0.005000, 34.328657
0.002000, 0.005000, 34.376240
0.003000, 0.005000, 38.009775
0.004000, 0.005000, 41.140186
0.005000, 0.005000, 40.610718
0.006000, 0.005000, 39.165099
0.007000, 0.005000, 38.928126
0.008000, 0.005000, 35.189030
0.009000, 0.005000, 33.869183
0.010000, 0.005000, 35.075921
0.011000, 0.005000, 34.230829
0.012000, 0.005000, 36.994871
0.013000, 0.005000, 39.051124
0.014000, 0.005000, 40.560730
0.015000, 0.005000, 41.053010
0.016000, 0.005000, 40.185674
0.017000, 0.005000, 37.685082
0.018000, 0.005000, 34.241684
0.019000, 0.005000, 31.054850
0.020000, 0.005000, 26.459286
0.000000, 0.006000, 33.232949
0.001000, 0.006000, 37.825209
0.002000, 0.006000, 37.954775
0.003000, 0.006000, 42.079502
0.004000, 0.006000, 45.308982
0.005000, 0.006000, 44.571575
0.006000, 0.006000, 42.875726
0.007000, 0.006000, 42.589932
0.008000, 0.006000, 38.283655
0.009000, 0.006000, 36.816276
0.010000, 0.006000, 38.132699
0.011000, 0.006000, 37.225486
0.012000, 0.006000, 40.215499
0.013000, 0.006000, 42.582751
0.014000, 0.006000, 44.382130
0.015000, 0.006000, 45.033402
0.016000, 0.006000, 44.156597
0.017000, 0.006000, 41.483194
0.018000, 0.006000, 37.722874
0.019000, 0.006000, 34.156893
0.020000, 0.006000, 29.038087
0.000000, 0.007000, 33.827665
0.001000, 0.007000, 38.854414
0.002000, 0.007000, 39.006594
0.003000, 0.007000, 43.350791
0.004000, 0.007000, 46.594124
0.005000, 0.007000, 45.772642
0.006000, 0.007000, 43.981661
0.007000, 0.007000, 43.688435
0.008000, 0.007000, 39.211253
0.009000, 0.007000, 37.718859
0.010000, 0.007000, 39.083536
0.011000, 0.007000, 38.185448
0.012000, 0.007000, 41.289748
0.013000, 0.007000, 43.761759
0.014000, 0.007000, 45.641710
0.015000, 0.007000, 46.310699
0.016000, 0.007000, 45.396339
0.017000, 0.007000, 42.654158
0.018000, 0.007000, 38.793573
0.019000, 0.007000, 35.129108
0.020000, 0.007000, 29.905340
0.000000, 0.008000, 35.894013
0.001000, 0.008000, 42.078521
0.002000, 0.008000, 42.331677
0.003000, 0.008000, 47.141264
0.004000, 0.008000, 50.268562
0.005000, 0.008000, 49.015059
0.006000, 0.008000, 46.825742
0.007000, 0.008000, 46.446754
0.008000, 0.008000, 41.579718
0.009000, 0.008000, 40.123483
0.010000, 0.008000, 41.681286
0.011000, 0.008000, 40.772569
0.012000, 0.008000, 44.591203
0.013000, 0.008000, 47.338562
0.014000, 0.008000, 49.248046
0.015000, 0.008000, 49.653721
0.016000, 0.008000, 48.324810
0.017000, 0.008000, 45.202539
0.018000, 0.008000, 41.063810
0.019000, 0.008000, 37.285664
0.020000, 0.008000, 31.721807
0.000000, 0.009000, 34.617786
0.001000, 0.009000, 41.355769
0.002000, 0.009000, 41.670686
0.003000, 0.009000, 46.712585
0.004000, 0.009000, 49.740190
0.005000, 0.009000, 48.415812
0.006000, 0.009000, 46.175943
0.007000, 0.009000, 45.790544
0.008000, 0.009000, 41.083547
0.009000, 0.009000, 39.796941
0.010000, 0.009000, 41.389668
0.011000, 0.009000, 40.532650
0.012000, 0.009000, 44.468238
0.013000, 0.009000, 47.230132
0.014000, 0.009000, 49.041179
0.015000, 0.009000, 49.295125
0.016000, 0.009000, 47.827045
0.017000, 0.009000, 44.633977
0.018000, 0.009000, 40.486797
0.019000, 0.009000, 36.665946
0.020000, 0.009000, 31.111172
0.000000, 0.010000, 33.430369
0.001000, 0.010000, 40.451917
0.002000, 0.010000, 40.829800
0.003000, 0.010000, 46.043192
0.004000, 0.010000, 49.006952
0.005000, 0.010000, 47.664509
0.006000, 0.010000, 45.424400
0.007000, 0.010000, 45.040785
0.008000, 0.010000, 40.522493
0.009000, 0.010000, 39.391621
0.010000, 0.010000, 41.033481
0.011000, 0.010000, 40.211067
0.012000, 0.010000, 44.135533
0.013000, 0.010000, 46.897353
0.014000, 0.010000, 48.629018
0.015000, 0.010000, 48.792707
0.016000, 0.010000, 47.262589
0.017000, 0.010000, 44.060358
0.018000, 0.010000, 39.943510
0.019000, 0.010000, 36.058996
0.020000, 0.010000, 30.520242
0.000000, 0.011000, 31.856406
0.001000, 0.011000, 38.947443
0.002000, 0.011000, 39.342692
0.003000, 0.011000, 44.527652
0.004000, 0.011000, 47.407972
0.005000, 0.011000, 46.098701
0.006000, 0.011000, 43.939308
0.007000, 0.011000, 43.553323
0.008000, 0.011000, 39.248065
0.009000, 0.011000, 38.213079
0.010000, 0.011000, 39.717164
0.011000, 0.011000, 39.000198
0.012000, 0.011000, 42.887474
0.013000, 0.011000, 45.559458
0.014000, 0.011000, 47.200029
0.015000, 0.011000, 47.307046
0.016000, 0.011000, 45.772934
0.017000, 0.011000, 42.607942
0.018000, 0.011000, 38.550770
0.019000, 0.011000, 34.668378
0.020000, 0.011000, 29.161899
0.000000, 0.012000, 26.665159
0.001000, 0.012000, 33.246891
0.002000, 0.012000, 33.650511
0.003000, 0.012000, 38.358154
0.004000, 0.012000, 40.843884
0.005000, 0.012000, 39.816804
0.006000, 0.012000, 38.164893
0.007000, 0.012000, 37.905067
0.008000, 0.012000, 34.628447
0.009000, 0.012000, 33.930333
0.010000, 0.012000, 35.340810
0.011000, 0.012000, 34.873321
0.012000, 0.012000, 38.277169
0.013000, 0.012000, 40.313603
0.014000, 0.012000, 41.548299
0.015000, 0.012000, 41.459427
0.016000, 0.012000, 39.962460
0.017000, 0.012000, 36.972397
0.018000, 0.012000, 33.189108
0.019000, 0.012000, 29.687681
0.020000, 0.012000, 24.812058
0.000000, 0.013000, 22.858454
0.001000, 0.013000, 28.663988
0.002000, 0.013000, 29.039738
0.003000, 0.013000, 33.166599
0.004000, 0.013000, 35.336765
0.005000, 0.013000, 34.499869
0.006000, 0.013000, 33.172492
0.007000, 0.013000, 32.958057
0.008000, 0.013000, 30.393208
0.009000, 0.013000, 29.983078
0.010000, 0.013000, 31.358181
0.011000, 0.013000, 31.000661
0.012000, 0.013000, 33.937909
0.013000, 0.013000, 35.558578
0.014000, 0.013000, 36.525272
0.015000, 0.013000, 36.337992
0.016000, 0.013000, 34.905459
0.017000, 0.013000, 32.155370
0.018000, 0.013000, 28.762535
0.019000, 0.013000, 25.728531
0.020000, 0.013000, 21.468309
0.000000, 0.014000, 19.123090
0.001000, 0.014000, 24.122128
0.002000, 0.014000, 24.457505
0.003000, 0.014000, 28.040093
0.004000, 0.014000, 29.951519
0.005000, 0.014000, 29.294604
0.006000, 0.014000, 28.217007
0.007000, 0.014000, 28.043639
0.008000, 0.014000, 26.088235
0.009000, 0.014000, 25.998012
0.010000, 0.014000, 27.348007
0.011000, 0.014000, 27.095935
0.012000, 0.014000, 29.550966
0.013000, 0.014000, 30.799513
0.014000, 0.014000, 31.529693
0.015000, 0.014000, 31.263213
0.016000, 0.014000, 29.878439
0.017000, 0.014000, 27.346390
0.018000, 0.014000, 24.355566
0.019000, 0.014000, 21.831434
0.020000, 0.014000, 18.212221
0.000000, 0.015000, 15.963024
0.001000, 0.015000, 19.832218
0.002000, 0.015000, 20.082506
0.003000, 0.015000, 22.837064
0.004000, 0.015000, 24.450455
0.005000, 0.015000, 23.995062
0.006000, 0.015000, 23.208485
0.007000, 0.015000, 23.091249
0.008000, 0.015000, 21.818162
0.009000, 0.015000, 21.912322
0.010000, 0.015000, 23.137145
0.011000, 0.015000, 22.927729
0.012000, 0.015000, 24.890242
0.013000, 0.015000, 25.784279
0.014000, 0.015000, 26.230159
0.015000, 0.015000, 25.918797
0.016000, 0.015000, 24.726053
0.017000, 0.015000, 22.656916
0.018000, 0.015000, 20.285726
0.019000, 0.015000, 18.321103
0.020000, 0.015000, 15.435692
0.000000, 0.016000, 12.706473
0.001000, 0.016000, 15.401032
0.002000, 0.016000, 15.549202
0.003000, 0.016000, 17.419446
0.004000, 0.016000, 18.819285
0.005000, 0.016000, 18.574747
0.006000, 0.016000, 18.072660
0.007000, 0.016000, 18.014369
0.008000, 0.016000, 17.412230
0.009000, 0.016000, 17.629254
0.010000, 0.016000, 18.672882
0.011000, 0.016000, 18.471815
0.012000, 0.016000, 19.955566
0.013000, 0.016000, 20.472799
0.014000, 0.016000, 20.597062
0.015000, 0.016000, 20.260131
0.016000, 0.016000, 19.310133
0.017000, 0.016000, 17.745308
0.018000, 0.016000, 16.047665
0.019000, 0.016000, 14.679367
0.020000, 0.016000, 12.567859
0.000000, 0.017000, 11.398669
0.001000, 0.017000, 13.032682
0.002000, 0.017000, 13.097354
0.003000, 0.017000, 14.013116
0.004000, 0.017000, 14.833123
0.005000, 0.017000, 14.687757
0.006000, 0.017000, 14.442708
0.007000, 0.017000, 14.422858
0.008000, 0.017000, 14.275590
0.009000, 0.017000, 14.445865
0.010000, 0.017000, 15.297960
0.011000, 0.017000, 15.037660
0.012000, 0.017000, 16.069084
0.013000, 0.017000, 16.421118
0.014000, 0.017000, 16.476093
0.015000, 0.017000, 16.240790
0.016000, 0.017000, 15.635919
0.017000, 0.017000, 14.733614
0.018000, 0.017000, 13.763482
0.019000, 0.017000, 12.878351
0.020000, 0.017000, 11.417548
0.000000, 0.018000, 9.881679
0.001000, 0.018000, 10.821339
0.002000, 0.018000, 10.809634
0.003000, 0.018000, 11.039622
0.004000, 0.018000, 11.317917
0.005000, 0.018000, 11.222361
0.006000, 0.018000, 11.158398
0.007000, 0.018000, 11.174733
0.008000, 0.018000, 11.305212
0.009000, 0.018000, 11.414393
0.010000, 0.018000, 12.125379
0.011000, 0.018000, 11.806652
0.012000, 0.018000, 12.459226
0.013000, 0.018000, 12.725970
0.014000, 0.018000, 12.789348
0.015000, 0.018000, 12.655934
0.016000, 0.018000, 12.334889
0.017000, 0.018000, 11.976283
0.018000, 0.018000, 11.544315
0.019000, 0.018000, 10.976683
0.020000, 0.018000, 9.975839
0.000000, 0.019000, 9.389076
0.001000, 0.019000, 10.048503
0.002000, 0.019000, 10.015731
0.003000, 0.019000, 9.958102
0.004000, 0.019000, 10.026182
0.005000, 0.019000, 9.947268
0.006000, 0.019000, 9.931883
0.007000, 0.019000, 9.938664
0.008000, 0.019000, 10.076210
0.009000, 0.019000, 10.107939
0.010000, 0.019000, 10.721016
0.011000, 0.019000, 10.353153
0.012000, 0.019000, 10.791653
0.013000, 0.019000, 11.023079
0.014000, 0.019000, 11.138976
0.015000, 0.019000, 11.136037
0.016000, 0.019000, 11.019254
0.017000, 0.019000, 10.949400
0.018000, 0.019000, 10.831410
0.019000, 0.019000, 10.464842
0.020000, 0.019000, 9.698041
0.000000, 0.020000, 8.150095
0.001000, 0.020000, 8.770502
0.002000, 0.020000, 8.737731
0.003000, 0.020000, 8.621605
0.004000, 0.020000, 8.756532
0.005000, 0.020000, 8.708879
0.006000, 0.020000, 8.649136
0.007000, 0.020000, 8.636659
0.008000, 0.020000, 8.625296
0.009000, 0.020000, 8.570160
0.010000, 0.020000, 9.116629
0.011000, 0.020000, 8.710627
0.012000, 0.020000, 8.969387
0.013000, 0.020000, 9.131911
0.014000, 0.020000, 9.293876
0.015000, 0.020000, 9.456003
0.016000, 0.020000, 9.523907
0.017000, 0.020000, 9.616951
0.018000, 0.020000, 9.690119
0.019000, 0.020000, 9.517906
0.020000, 0.020000, 8.913744
